Area,Measure,Year at 30 June,Value,Flags
"Total New Zealand by regional council","Natural increase","2019",26500,
"Total New Zealand by regional council","Natural increase","2020",26200,
"Total New Zealand by regional council","Natural increase","2021",27700,
"Total New Zealand by regional council","Natural increase","2022",24100,
"Total New Zealand by regional council","Net international migration","2019",52100,
"Total New Zealand by regional council","Net migration","2019",52100,
"Total New Zealand by regional council","Net migration","2020",84800,
"Total New Zealand by regional council","Net international migration","2020",84800,
"Total New Zealand by regional council","Net international migration","2021",-6500,
"Total New Zealand by regional council","Net migration","2021",-6500,
"Total New Zealand by regional council","Net migration","2022",-11500,
"Total New Zealand by regional council","Population","2018",4900600,
"Total New Zealand by territorial authority","Natural increase","2019",26500,
"Total New Zealand by regional council","Population","2019",4979200,
"Total New Zealand by regional council","Net internal migration","2019",0,
"Total New Zealand by regional council","Net internal migration","2020",0,
"Total New Zealand by regional council","Population","2020",5090200,
"Total New Zealand by territorial authority","Natural increase","2020",26200,
"Total New Zealand by territorial authority","Natural increase","2021",27700,
"Total New Zealand by regional council","Population","2021",5111400,
"Total New Zealand by regional council","Net internal migration","2021",0,
"Total New Zealand by regional council","Net internal migration","2022",0,
"Total New Zealand by regional council","Population","2022",5124100,
"Total New Zealand by territorial authority","Natural increase","2022",24100,
"Total New Zealand by regional council","Net international migration","2022",-11500,
"Total New Zealand by territorial authority","Population","2018",4900600,
"Waikato region","Natural increase","2019",3000,
"Auckland region","Natural increase","2019",12800,
"Northland region","Natural increase","2019",600,
"Total New Zealand by territorial authority","Population","2019",4979200,
"Total New Zealand by territorial authority","Net internal migration","2019",0,
"Total New Zealand by territorial authority","Net international migration","2019",52100,
"Total New Zealand by territorial authority","Net migration","2019",52100,
"Total New Zealand by territorial authority","Net migration","2020",84800,
"Total New Zealand by territorial authority","Net international migration","2020",84800,
"Total New Zealand by territorial authority","Net internal migration","2020",0,
"Total New Zealand by territorial authority","Population","2020",5090200,
"Northland region","Natural increase","2020",670,
"Auckland region","Natural increase","2020",12900,
"Auckland region","Natural increase","2021",12900,
"Northland region","Natural increase","2021",660,
"Total New Zealand by territorial authority","Population","2021",5111400,
"Total New Zealand by territorial authority","Net internal migration","2021",0,
"Total New Zealand by territorial authority","Net international migration","2021",-6500,
"Total New Zealand by territorial authority","Net migration","2021",-6500,
"Total New Zealand by territorial authority","Net migration","2022",-11500,
"Total New Zealand by territorial authority","Net international migration","2022",-11500,
"Total New Zealand by territorial authority","Net internal migration","2022",0,
"Total New Zealand by territorial authority","Population","2022",5124100,
"Northland region","Natural increase","2022",490,
"Auckland region","Natural increase","2022",12000,
"Northland region","Population","2018",185800,
"Auckland region","Population","2018",1654800,
"Taranaki region","Natural increase","2019",650,
"Hawke's Bay region","Natural increase","2019",560,
"Gisborne region","Natural increase","2019",280,
"Bay of Plenty region","Natural increase","2019",1400,
"Auckland region","Population","2019",1681300,
"Northland region","Population","2019",189100,
"Northland region","Net internal migration","2019",1800,
"Auckland region","Net internal migration","2019",-11400,
"Auckland region","Net international migration","2019",25000,
"Northland region","Net international migration","2019",910,
"Northland region","Net migration","2019",2700,
"Auckland region","Net migration","2019",13600,
"Auckland region","Net migration","2020",20000,
"Northland region","Net migration","2020",4900,
"Northland region","Net international migration","2020",2800,
"Auckland region","Net international migration","2020",31300,
"Auckland region","Net internal migration","2020",-11300,
"Northland region","Net internal migration","2020",2100,
"Northland region","Population","2020",194600,
"Auckland region","Population","2020",1714200,
"Bay of Plenty region","Natural increase","2020",1500,
"Gisborne region","Natural increase","2020",250,
"Hawke's Bay region","Natural increase","2020",590,
"Taranaki region","Natural increase","2020",410,
"Waikato region","Natural increase","2020",2800,
"Waikato region","Natural increase","2021",3100,
"Taranaki region","Natural increase","2021",570,
"Hawke's Bay region","Natural increase","2021",700,
"Gisborne region","Natural increase","2021",290,
"Bay of Plenty region","Natural increase","2021",1700,
"Auckland region","Population","2021",1704100,
"Northland region","Population","2021",198900,
"Northland region","Net internal migration","2021",2700,
"Auckland region","Net internal migration","2021",-15400,
"Auckland region","Net international migration","2021",-7600,
"Northland region","Net international migration","2021",910,
"Northland region","Net migration","2021",3600,
"Auckland region","Net migration","2021",-22900,
"Auckland region","Net migration","2022",-20900,
"Northland region","Net migration","2022",2100,
"Northland region","Net international migration","2022",-230,
"Auckland region","Net international migration","2022",-5900,
"Auckland region","Net internal migration","2022",-15000,
"Northland region","Net internal migration","2022",2300,
"Northland region","Population","2022",201500,
"Auckland region","Population","2022",1695200,
"Bay of Plenty region","Natural increase","2022",1400,
"Gisborne region","Natural increase","2022",350,
"Hawke's Bay region","Natural increase","2022",640,
"Taranaki region","Natural increase","2022",390,
"Waikato region","Natural increase","2022",2800,
"Waikato region","Population","2018",475600,
"Bay of Plenty region","Population","2018",320800,
"Gisborne region","Population","2018",49500,
"Hawke's Bay region","Population","2018",172400,
"Otago region","Natural increase","2019",590,
"Canterbury region","Natural increase","2019",2700,
"West Coast region","Natural increase","2019",40,
"Marlborough region","Natural increase","2019",60,
"Nelson region","Natural increase","2019",60,
"Tasman region","Natural increase","2019",40,
"Wellington region","Natural increase","2019",2500,
"Manawatu-Whanganui region","Natural increase","2019",880,
"Hawke's Bay region","Population","2019",174900,
"Gisborne region","Population","2019",50200,
"Bay of Plenty region","Population","2019",328200,
"Waikato region","Population","2019",485700,
"Waikato region","Net internal migration","2019",2900,
"Bay of Plenty region","Net internal migration","2019",2100,
"Gisborne region","Net internal migration","2019",50,
"Hawke's Bay region","Net internal migration","2019",320,
"Taranaki region","Net international migration","2019",990,
"Hawke's Bay region","Net international migration","2019",1600,
"Gisborne region","Net international migration","2019",370,
"Bay of Plenty region","Net international migration","2019",3900,
"Waikato region","Net international migration","2019",4300,
"Waikato region","Net migration","2019",7100,
"Bay of Plenty region","Net migration","2019",6000,
"Gisborne region","Net migration","2019",430,
"Hawke's Bay region","Net migration","2019",1900,
"Taranaki region","Net migration","2019",1200,
"Taranaki region","Net migration","2020",1700,
"Hawke's Bay region","Net migration","2020",4600,
"Gisborne region","Net migration","2020",870,
"Bay of Plenty region","Net migration","2020",9400,
"Waikato region","Net migration","2020",11600,
"Waikato region","Net international migration","2020",7600,
"Bay of Plenty region","Net international migration","2020",7200,
"Gisborne region","Net international migration","2020",870,
"Hawke's Bay region","Net international migration","2020",4400,
"Taranaki region","Net international migration","2020",1600,
"Hawke's Bay region","Net internal migration","2020",140,
"Gisborne region","Net internal migration","2020",0,
"Bay of Plenty region","Net internal migration","2020",2300,
"Waikato region","Net internal migration","2020",4000,
"Waikato region","Population","2020",500100,
"Bay of Plenty region","Population","2020",339200,
"Gisborne region","Population","2020",51400,
"Hawke's Bay region","Population","2020",180000,
"Manawatu-Whanganui region","Natural increase","2020",870,
"Wellington region","Natural increase","2020",2500,
"Tasman region","Natural increase","2020",40,
"Nelson region","Natural increase","2020",110,
"Marlborough region","Natural increase","2020",70,
"West Coast region","Natural increase","2020",60,
"Canterbury region","Natural increase","2020",2500,
"Otago region","Natural increase","2020",630,
"Otago region","Natural increase","2021",750,
"Canterbury region","Natural increase","2021",2900,
"West Coast region","Natural increase","2021",60,
"Marlborough region","Natural increase","2021",70,
"Nelson region","Natural increase","2021",60,
"Tasman region","Natural increase","2021",150,
"Wellington region","Natural increase","2021",2600,
"Manawatu-Whanganui region","Natural increase","2021",980,
"Hawke's Bay region","Population","2021",181800,
"Gisborne region","Population","2021",51800,
"Bay of Plenty region","Population","2021",344000,
"Waikato region","Population","2021",508400,
"Waikato region","Net internal migration","2021",5400,
"Bay of Plenty region","Net internal migration","2021",2500,
"Gisborne region","Net internal migration","2021",-60,
"Hawke's Bay region","Net internal migration","2021",370,
"Taranaki region","Net international migration","2021",430,
"Hawke's Bay region","Net international migration","2021",690,
"Gisborne region","Net international migration","2021",200,
"Bay of Plenty region","Net international migration","2021",530,
"Waikato region","Net international migration","2021",-50,
"Waikato region","Net migration","2021",5300,
"Bay of Plenty region","Net migration","2021",3000,
"Gisborne region","Net migration","2021",140,
"Hawke's Bay region","Net migration","2021",1100,
"Taranaki region","Net migration","2021",720,
"Taranaki region","Net migration","2022",440,
"Hawke's Bay region","Net migration","2022",300,
"Gisborne region","Net migration","2022",-50,
"Bay of Plenty region","Net migration","2022",2300,
"Waikato region","Net migration","2022",2500,
"Waikato region","Net international migration","2022",-860,
"Bay of Plenty region","Net international migration","2022",-290,
"Gisborne region","Net international migration","2022",10,
"Hawke's Bay region","Net international migration","2022",-200,
"Hawke's Bay region","Net internal migration","2022",510,
"Gisborne region","Net internal migration","2022",-60,
"Bay of Plenty region","Net internal migration","2022",2600,
"Waikato region","Net internal migration","2022",3400,
"Waikato region","Population","2022",513800,
"Bay of Plenty region","Population","2022",347700,
"Gisborne region","Population","2022",52100,
"Hawke's Bay region","Population","2022",182700,
"Manawatu-Whanganui region","Natural increase","2022",790,
"Wellington region","Natural increase","2022",2100,
"Tasman region","Natural increase","2022",60,
"Nelson region","Natural increase","2022",30,
"Marlborough region","Natural increase","2022",-10,
"West Coast region","Natural increase","2022",-40,
"Canterbury region","Natural increase","2022",2300,
"Otago region","Natural increase","2022",550,
"Manawatu-Whanganui region","Population","2018",247500,
"Taranaki region","Population","2018",121200,
"Wellington region","Population","2018",525900,
"Tasman region","Population","2018",54000,
"Nelson region","Population","2018",52700,
"Marlborough region","Population","2018",48700,
"West Coast region","Population","2018",32400,
"Canterbury region","Population","2018",622800,
"Otago region","Population","2018",235000,
"Whau local board area","Natural increase","2019",730,
"Waitemata local board area","Natural increase","2019",420,
"Waiheke local board area","Natural increase","2019",40,
"Aotea/Great Barrier local board area","Natural increase","2019",0,
"Waitakere Ranges local board area","Natural increase","2019",540,
"Henderson-Massey local board area","Natural increase","2019",1300,
"Devonport-Takapuna local board area","Natural increase","2019",200,
"Kaipatiki local board area","Natural increase","2019",810,
"Upper Harbour local board area","Natural increase","2019",390,
"Hibiscus and Bays local board area","Natural increase","2019",500,
"Rodney local board area","Natural increase","2019",400,
"Auckland","Natural increase","2019",12800,
"Kaipara district","Natural increase","2019",70,
"Whangarei district","Natural increase","2019",300,
"Far North district","Natural increase","2019",230,
"Area outside region","Natural increase","2019",10,
"Southland region","Natural increase","2019",290,
"Otago region","Population","2019",239400,
"Canterbury region","Population","2019",631700,
"West Coast region","Population","2019",32500,
"Marlborough region","Population","2019",49300,
"Nelson region","Population","2019",53400,
"Tasman region","Population","2019",54900,
"Wellington region","Population","2019",532600,
"Taranaki region","Population","2019",123100,
"Manawatu-Whanganui region","Population","2019",250600,
"Manawatu-Whanganui region","Net internal migration","2019",710,
"Taranaki region","Net internal migration","2019",230,
"Wellington region","Net internal migration","2019",370,
"Tasman region","Net internal migration","2019",440,
"Nelson region","Net internal migration","2019",-100,
"Marlborough region","Net internal migration","2019",240,
"West Coast region","Net internal migration","2019",-190,
"Canterbury region","Net internal migration","2019",1600,
"Otago region","Net internal migration","2019",1300,
"Otago region","Net international migration","2019",2500,
"Canterbury region","Net international migration","2019",4600,
"West Coast region","Net international migration","2019",180,
"Marlborough region","Net international migration","2019",280,
"Nelson region","Net international migration","2019",730,
"Tasman region","Net international migration","2019",390,
"Wellington region","Net international migration","2019",3800,
"Manawatu-Whanganui region","Net international migration","2019",1500,
"Manawatu-Whanganui region","Net migration","2019",2200,
"Wellington region","Net migration","2019",4200,
"Tasman region","Net migration","2019",830,
"Nelson region","Net migration","2019",630,
"Marlborough region","Net migration","2019",520,
"West Coast region","Net migration","2019",-20,
"Canterbury region","Net migration","2019",6200,
"Otago region","Net migration","2019",3800,
"Otago region","Net migration","2020",4900,
"Canterbury region","Net migration","2020",9800,
"West Coast region","Net migration","2020",290,
"Marlborough region","Net migration","2020",1900,
"Nelson region","Net migration","2020",1400,
"Tasman region","Net migration","2020",2300,
"Wellington region","Net migration","2020",7000,
"Manawatu-Whanganui region","Net migration","2020",3100,
"Manawatu-Whanganui region","Net international migration","2020",2600,
"Wellington region","Net international migration","2020",7700,
"Tasman region","Net international migration","2020",1800,
"Nelson region","Net international migration","2020",1600,
"Marlborough region","Net international migration","2020",1800,
"West Coast region","Net international migration","2020",370,
